AICC-C14Be;C14Be 
2884.505;-1.1799
2889.955;-1.37992
2895.405;-1.71632
2900.855;-2.01912
2906.305;-2.20532
2911.755;-2.16817
2917.205;-1.73772
2922.655;-1.20252
2928.105;-0.740457
2933.555;-0.410815
2939.005;-0.312423
2944.455;-0.364244
2949.905;-0.443739
2955.355;-0.578578
2960.805;-0.833985
2966.255;-1.18031
2971.707714;-1.45944
2977.25;-1.61011
2982.835714;-1.51372
2988.421429;-1.1189
2994.007143;-0.747794
2999.592857;-0.46761
3005.178571;-0.359384
3010.764286;-0.508098
3016.35;-0.690417
3022.025086;-0.839143
3027.8845;-0.928578
3033.7495;-0.927101
3039.6145;-0.894006
3045.390129;-0.833246
3050.981429;-0.713196
3056.567143;-0.486424
3062.152857;-0.249774
3067.690893;-0.0842819
3073.032917;-0.047264
3078.35375;-0.259285
3083.674583;-0.59385
3088.995417;-0.845409
3094.31625;-0.948739
3099.637083;-0.76154
3104.957917;-0.327288
3110.273913;0.0496411
3115.430284;0.313906
3120.509261;0.362734
3125.588239;0.148686
3130.667216;-0.0673444
3135.823587;-0.251758
3141.139583;-0.380836
3146.460417;-0.41505
3151.78125;-0.401838
3157.076048;-0.353055
3162.26381;-0.233128
3167.44;0.0251456
3172.61619;0.348634
3177.792381;0.6148
3182.968571;0.778182
3188.144762;0.75182
3193.320952;0.555473
3198.497143;0.37098
3203.673333;0.218101
3208.849524;0.114627
3214.025714;0.076368
3219.201905;0.0381014
3224.378095;-0.0120317
3229.554286;-0.0878664
3234.730476;-0.201262
3239.906667;-0.298853
3245.171619;-0.349019
3250.619643;-0.304322
3256.073214;-0.0955888
3261.526786;0.142783
3266.980357;0.309994
3272.433929;0.336868
3277.8875;0.102842
3283.341071;-0.263615
3288.794643;-0.551022
3294.248214;-0.698112
3299.701786;-0.578388
3305.155357;-0.221501
3310.603971;0.107706
3315.888977;0.377611
3321.094659;0.542755
3326.300341;0.581394
3331.506023;0.596309
3336.758839;0.583543
3342.108869;0.517401
3347.461845;0.348476
3352.814821;0.187445
3358.167798;0.125226
3363.520774;0.256689
3368.87375;0.767619
3374.226726;1.4584
3379.579702;2.01477
3384.932679;2.32604
3390.285655;2.17878
3395.638631;1.62236
3400.986741;1.11141
3406.174261;0.693329
3411.28392;0.439284
3416.39358;0.388803
3421.503239;0.356099
3426.643521;0.323383
3431.846964;0.288678
3437.052321;0.251985
3442.257679;0.219232
3447.463036;0.194373
3452.668393;0.18729
3457.87375;0.217747
3463.079107;0.262026
3468.27478;0.280599
3473.380872;0.253701
3478.465174;0.137849
3483.549477;-0.0590496
3488.633779;-0.252009
3493.718081;-0.433123
