Age_synchroBe;C14Be 
2907.5;-2.20532
2912.22;-2.16817
2916.93;-1.73772
2921.64;-1.20252
2926.36;-0.740457
2931.07;-0.410815
2935.78;-0.312423
2940.5;-0.364244
2945.21;-0.443739
2949.92;-0.578578
2954.64;-0.833985
2959.35;-1.18031
2964.06;-1.45944
2968.78;-1.61011
2973.49;-1.51372
2978.2;-1.1189
2982.92;-0.747794
2987.63;-0.46761
2992.35;-0.359384
2997.06;-0.508098
3001.77;-0.690417
3006.49;-0.839143
3011.2;-0.928578
3015.91;-0.927101
3020.63;-0.894006
3025.34;-0.833246
3030.05;-0.713196
3034.77;-0.486424
3039.48;-0.249774
3044.19;-0.0842819
3048.91;-0.047264
3053.62;-0.259285
3058.33;-0.59385
3063.05;-0.845409
3067.76;-0.948739
3072.48;-0.76154
3077.19;-0.327288
3081.9;0.0496411
3086.62;0.313906
3091.33;0.362734
3096.04;0.148686
3100.76;-0.0673444
3105.47;-0.251758
3110.18;-0.380836
3114.9;-0.41505
3119.61;-0.401838
3124.32;-0.353055
3129.04;-0.233128
3133.75;0.0251456
3138.46;0.348634
3143.18;0.6148
3147.89;0.778182
3152.61;0.75182
3157.32;0.555473
3162.03;0.37098
3166.75;0.218101
3171.46;0.114627
3176.17;0.076368
3180.89;0.0381014
3185.6;-0.0120317
3190.31;-0.0878664
3195.03;-0.201262
3199.74;-0.298853
3204.45;-0.349019
3209.17;-0.304322
3213.88;-0.0955888
3218.59;0.142783
3223.31;0.309994
3228.02;0.336868
3232.74;0.102842
3237.45;-0.263615
3242.16;-0.551022
3246.88;-0.698112
3251.59;-0.578388
3256.3;-0.221501
3261.02;0.107706
3265.73;0.377611
3270.44;0.542755
3275.16;0.581394
3279.87;0.596309
3284.58;0.583543
3289.3;0.517401
3294.01;0.348476
3298.72;0.187445
3303.44;0.125226
3308.15;0.256689
3312.87;0.767619
3317.58;1.4584
3322.29;2.01477
3327.01;2.32604
3331.72;2.17878
3336.43;1.62236
3341.15;1.11141
3345.86;0.693329
3350.57;0.439284
3355.29;0.388803
3360;0.356099
3364.71;0.323383
3369.43;0.288678
3374.14;0.251985
3378.85;0.219232
3383.57;0.194373
3388.28;0.18729
3393.26;0.217747
3398.56;0.262026
3403.86;0.280599
3409.17;0.253701
3414.47;0.137849
3419.77;-0.0590496
3425.07;-0.252009
3430.38;-0.433123
3435.68;-0.606345
3440.98;-0.769697
3446.29;-0.911323
3451.59;-1.02331
3456.89;-1.07603
3462.19;-1.03191
3467.5;-0.956181
3472.8;-0.8943
3478.1;-0.856155
3483.4;-0.867432
3488.71;-0.894537
3494.01;-0.893986
3499.31;-0.83811
3504.62;-0.66959
3509.92;-0.408192
3515.22;-0.182385
3520.52;-0.0297228
3525.83;-0.0134507
3531.13;-0.161239
3536.43;-0.303114
3541.73;-0.401524
3547.04;-0.424844
3552.34;-0.311803
3557.64;-0.159251
3562.95;-0.0264793
3568.25;0.0805822
3573.55;0.13624
3578.85;0.154328
3584.16;0.146706
3589.46;0.0876791
3594.76;-0.0741398
3600.06;-0.320964
3605.37;-0.540134
3610.67;-0.702003
3615.97;-0.769021
3621.28;-0.685848
3626.58;-0.565138
3631.88;-0.416776
3637.18;-0.211114
3642.49;0.101258
3647.79;0.42547
3653.09;0.688395
3658.39;0.846549
3663.7;0.805063
3669;0.587656
3674.3;0.39197
3679.61;0.2437
3684.91;0.178423
3690.21;0.215901
3695.51;0.245457
3700.82;0.245345
3706.12;0.18592
3711.42;0.0316066
3716.72;-0.138538
3722.03;-0.306725
3727.33;-0.480862
3732.63;-0.674784
3737.94;-0.860819
3743.24;-0.985604
3748.54;-0.995775
3753.84;-0.782629
3759.15;-0.375808
3764.45;-0.000633481
3769.75;0.315228
3775.05;0.532246
3780.36;0.601009
3785.66;0.630223
3790.96;0.643605
3796.26;0.623364
3801.57;0.54974
3806.87;0.452378
3812.17;0.343133
3817.48;0.206197
3822.78;0.00994762
3828.08;-0.235735
3833.38;-0.449818
3838.69;-0.61451
3843.99;-0.682379
3849.29;-0.635636
3854.59;-0.573103
3859.9;-0.496757
3865.2;-0.394739
3870.5;-0.241356
3875.81;-0.0860204
3881.11;0.0337173
3886.41;0.0842563
3891.71;0.0063034
3897.02;-0.136895
3902.32;-0.246517
3907.62;-0.292916
3912.92;-0.216799
3918.23;0.00555357
3923.53;0.204165
3928.83;0.331601
3934.14;0.320661
3939.44;0.10217
3944.74;-0.144014
3950.04;-0.370458
3955.35;-0.571232
3960.65;-0.728549
3966.32;-0.842406
3972.29;-0.900949
3978.25;-0.856738
3984.22;-0.607003
3990.18;-0.104305
3996.15;0.368721
4002.11;0.750806
4008.08;0.974749
4014.04;0.959519
4020.01;0.877063
4025.98;0.755053
4031.94;0.544079
4037.91;0.157177
4043.87;-0.306834
4049.84;-0.681929
4055.8;-0.902884
4061.77;-0.825423
4067.73;-0.386295
4073.7;0.0488527
4079.67;0.418752
4085.63;0.681899
4091.6;0.784927
4097.56;0.842472
4103.53;0.87232
4109.49;0.850755
4115.46;0.732318
4121.42;0.558513
4127.39;0.396543
4133.36;0.252333
4139.32;0.137746
4145.29;0.0567312
4151.25;-0.00849813
4157.22;-0.0520128
4163.18;-0.0560248
4169.15;-0.00274603
4175.11;0.0643414
4181.08;0.129426
4187.05;0.198438
4193.01;0.275327
4198.98;0.346262
4204.94;0.395428
4210.91;0.403063
4216.24;0.32173
4221.54;0.133643
4226.84;-0.0327306
4232.15;-0.14379
4237.45;-0.152101
4242.75;-0.00627615
4248.05;0.167192
4253.36;0.334704
4258.66;0.498237
4263.96;0.659765
4269.27;0.811384
4274.57;0.933331
4279.87;0.997931
4284.61;0.951825
4289.32;0.773268
4294.03;0.612472
4298.75;0.499085
4303.46;0.480538
4308.18;0.624034
4312.89;0.810985
4317.6;0.962333
4322.32;1.04448
4327.03;1.0001
4331.74;0.898379
4336.46;0.849996
4341.17;0.91029
4345.88;1.18401
4350.6;1.72255
4355.31;2.21758
4360.02;2.6019
4364.74;2.7846
4369.45;2.62139
4374.16;2.34747
4378.88;2.10318
4383.59;1.91617
4388.31;1.83388
4393.02;1.83853
4397.73;1.81153
4402.45;1.71731
4407.16;1.49261
4411.87;1.10384
4416.59;0.734804
4421.3;0.415153
4426.01;0.186393
4430.73;0.107815
4435.44;0.0924558
4440.15;0.100787
4444.87;0.154549
4450.09;0.301177
4455.39;0.528813
4460.7;0.726774
4466;0.873322
4471.3;0.926947
4476.6;0.842195
4481.91;0.72777
4487.21;0.613316
4492.51;0.492907
4497.81;0.354684
4503.42;0.21248
4509.39;0.0840837
4515.35;-0.0225977
4521.32;-0.0897771
4527.29;-0.117454
4533.25;-0.137252
4539.22;-0.139289
4545.18;-0.101823
4551.15;-0.011019
4557.11;0.0777818
4563.08;0.134933
4569.04;0.134741
4575.01;0.0258172
4580.98;-0.142426
4586.94;-0.290929
4592.91;-0.411791
4598.87;-0.483266
4604.84;-0.491521
4610.8;-0.489918
4616.77;-0.482414
4622.73;-0.457147
4628.7;-0.410165
4634.67;-0.353324
4640.63;-0.296511
4646.6;-0.241698
4652.56;-0.188888
4658.53;-0.138079
4664.49;-0.0912487
4670.46;-0.0483961
4676.42;-0.0134742
4682.39;0.00758764
4688.36;0.0207189
4694.32;0.0278962
4700.29;0.0152844
4706.25;-0.0289751
4712.22;-0.0732589
4718.18;-0.0918731
4724.15;-0.0630768
4730.11;0.0585887
4736.08;0.267194
4742.05;0.469846
4748.01;0.672475
4753.4;0.879032
4758.71;1.10138
4764.01;1.31777
4769.31;1.53019
4774.61;1.74456
4779.92;1.97866
4785.22;2.2088
4790.52;2.38951
4795.82;2.49114
4801.13;2.44647
4806.43;2.21997
4811.73;1.96576
4817.04;1.6799
4822.34;1.32683
4827.64;0.847245
4832.94;0.339965
4838.25;-0.131758
4843.55;-0.556068
4848.85;-0.903319
4854.15;-1.16758
4859.46;-1.38047
4864.76;-1.50445
4870.06;-1.45649
4875.37;-1.14766
4880.67;-0.826992
4885.97;-0.583428
4891.27;-0.486139
4896.58;-0.66162
4901.88;-0.979426
4907.18;-1.2261
4912.48;-1.34037
4917.79;-1.19969
4923.09;-0.750711
4928.39;-0.325464
4933.69;0.00687011
4939;0.171188
4944.61;0.0449504
4950.58;-0.182104
4956.54;-0.403247
4962.51;-0.628359
4968.47;-0.8693
4974.44;-1.11026
4980.4;-1.28799
4986.37;-1.3511
4992.34;-1.18693
4998.3;-0.67493
5004.27;-0.157012
5010.23;0.240326
5016.2;0.414311
5022.16;0.169272
5028.13;-0.303073
5034.09;-0.718115
5040.06;-1.03633
5046.03;-1.17272
5051.99;-1.09171
5057.96;-0.98898
5063.92;-0.874403
5069.89;-0.740076
5075.85;-0.562278
5081.82;-0.386471
5087.78;-0.244275
5093.75;-0.16336
5099.72;-0.204997
5105.68;-0.355352
5111.65;-0.497812
5117.61;-0.624471
5123.58;-0.729401
5129.54;-0.804694
5135.51;-0.862208
5141.47;-0.907874
5147.44;-0.941691
5153.41;-0.951801
5159.37;-0.938201
5165.34;-0.892988
5171.3;-0.796395
5177.27;-0.595058
5183.23;-0.227709
5189.2;0.171258
5195.16;0.578123
5201.13;1.01858
5207.1;1.54797
5213.06;2.10106
5219.03;2.57512
5224.99;2.92068
5230.96;3.03498
5236.92;2.86469
5242.89;2.66671
5248.85;2.46279
5254.82;2.24505
5260.79;2.00161
5266.75;1.75222
5272.72;1.50482
5278.68;1.25741
5284.65;1.00011
5290.61;0.734911
5296.58;0.479591
5302.54;0.240081
5308.51;0.0262633
5314.43;-0.146049
5319.73;-0.310457
5325.03;-0.488699
5330.33;-0.70647
5335.64;-1.00923
5340.94;-1.41673
5346.24;-1.78273
5351.55;-2.0598
5356.85;-2.17479
5362.15;-2.01305
5367.45;-1.75845
5372.76;-1.51964
5378.06;-1.30059
5383.36;-1.11909
5388.66;-0.967237
5393.97;-0.799563
5399.27;-0.59433
5404.69;-0.304106
5410.65;0.120524
5416.62;0.525396
5422.59;0.845288
5428.55;1.00905
5434.52;0.886234
5440.48;0.595427
5446.45;0.302654
5452.41;-0.00394558
5458.38;-0.344135
5464.34;-0.731747
5470.31;-1.08377
5476.28;-1.37057
5482.24;-1.54469
5488.21;-1.51127
5494.17;-1.35926
5500.14;-1.22304
5506.1;-1.11645
5512.07;-1.0652
5518.04;-1.07915
5524;-1.08122
5529.97;-1.0398
5535.93;-0.913381
5541.9;-0.618943
5547.86;-0.24543
5553.83;0.0628782
5559.79;0.258545
5565.76;0.238801
5571.72;-0.0378662
5577.69;-0.31056
5583.66;-0.531847
5589.62;-0.65429
5594.94;-0.606736
5600.24;-0.521611
5605.32;-0.485873
5610.04;-0.544982
5614.75;-0.79776
5619.46;-1.21456
5624.18;-1.5839
5628.89;-1.86428
5633.6;-1.98651
5638.32;-1.83202
5643.03;-1.58856
5647.74;-1.35891
5652.46;-1.15295
5657.17;-0.982535
5661.88;-0.849644
5666.6;-0.74242
5671.31;-0.676669
5676.02;-0.693902
5680.74;-0.855382
5685.45;-1.06427
5690.16;-1.26126
5694.88;-1.44439
5699.59;-1.61167
5704.31;-1.76113
5709.02;-1.88684
5713.73;-1.9789
5718.45;-2.0077
5723.16;-1.92577
5727.87;-1.80626
5732.59;-1.69066
5737.3;-1.57897
5742.01;-1.47317
5746.73;-1.37525
5751.44;-1.29111
5756.15;-1.23461
5760.87;-1.23143
5765.58;-1.31319
5770.29;-1.39294
5775.01;-1.43904
5779.72;-1.42185
5784.44;-1.28603
5789.15;-1.03949
5793.86;-0.798826
5798.58;-0.566022
5803.29;-0.337125
5808;-0.114109
5812.72;0.0931436
5817.43;0.270799
5822.14;0.393163
5826.86;0.418733
5831.57;0.355413
5836.28;0.304004
5841;0.282294
5845.71;0.312026
5850.42;0.422846
5855.14;0.545581
5859.85;0.664417
5864.57;0.783311
5869.28;0.908189
5873.99;1.0351
5878.71;1.13638
5883.42;1.19819
5888.13;1.18693
5892.85;1.06307
5897.56;0.911606
5902.27;0.748343
5906.99;0.555497
5911.7;0.29354
5916.41;-0.0236943
5921.13;-0.315169
5925.84;-0.567049
5930.55;-0.755615
5935.38;-0.845292
5940.68;-0.905253
5945.98;-0.943403
5951.28;-0.945909
