age;intcal20_detrended
4480;-1.45522
4485;0.31134
4490;1.77797
4495;2.44466
4500;3.11143
4505;3.37828
4510;3.1452
4515;2.01219
4520;-0.320738
4525;-2.95359
4530;-5.08637
4535;-5.81907
4540;-5.35169
4545;-4.38422
4550;-3.61668
4555;-2.84906
4560;-1.68136
4565;-1.01357
4570;-1.5457
4575;-2.97775
4580;-4.10971
4585;-4.74159
4590;-4.67338
4595;-3.70508
4600;-2.3367
4605;-1.16822
4610;-0.899659
4615;-1.53101
4620;-2.46226
4625;-3.09343
4630;-3.0245
4635;-2.15548
4640;-1.28637
4645;-1.51716
4650;-2.84786
4655;-4.17846
4660;-4.40896
4665;-3.23937
4670;-1.36968
4675;0.800114
4680;2.77
4685;3.93999
4690;4.01008
4695;3.18028
4700;2.15057
4705;1.52097
4710;1.59147
4715;1.86208
4720;2.13279
4725;2.10361
4730;1.47454
4735;0.845572
4740;0.816714
4745;2.08796
4750;4.45933
4755;7.4308
4760;10.5024
4765;13.0741
4770;14.7459
4775;15.6178
4780;15.8898
4785;15.662
4790;15.0343
4795;14.4066
4800;13.6791
4805;13.0518
4810;12.5245
4815;11.9973
4820;10.8703
4825;9.04341
4830;6.81663
4835;4.58997
4840;2.76343
4845;1.23702
4850;-0.189272
4855;-1.71544
4860;-3.44148
4865;-5.06739
4870;-6.49317
4875;-7.71883
4880;-8.44436
4885;-8.66976
4890;-8.49502
4895;-7.82016
4900;-7.04517
4905;-6.37004
4910;-5.99478
4915;-5.71939
4920;-5.34386
4925;-4.7682
4930;-3.9924
4935;-2.91647
4940;-1.54039
4945;-0.264182
4950;0.312168
4955;-0.211343
4960;-1.23471
4965;-2.05794
4970;-2.58103
4975;-3.60398
4980;-5.12678
4985;-5.74944
4990;-5.37195
4995;-4.99432
5000;-4.31654
5005;-2.93862
5010;-0.960545
5015;0.817675
5020;1.59604
5025;1.47456
5030;1.15323
5035;0.732051
5040;0.111023
5045;-1.30985
5050;-3.33058
5055;-5.25114
5060;-6.07156
5065;-5.69182
5070;-5.61192
5075;-5.43187
5080;-4.95166
5085;-4.87129
5090;-4.89076
5095;-4.41007
5100;-3.02922
5105;-1.04821
5110;0.832961
5115;1.9143
5120;2.39579
5125;2.27745
5130;1.75928
5135;1.14127
5140;0.323429
5145;-0.594247
5150;-0.711755
5155;0.270905
5160;1.85373
5165;3.93673
5170;5.4199
5175;6.10324
5180;6.98675
5185;8.47044
5190;10.3543
5195;11.9383
5200;13.3225
5205;14.6069
5210;14.2915
5215;13.2762
5220;13.2611
5225;14.4462
5230;15.3315
5235;14.9169
5240;14.9026
5245;15.8884
5250;17.1744
5255;17.7605
5260;17.7469
5265;17.8334
5270;17.8202
5275;17.2071
5280;16.2942
5285;15.1815
5290;14.0689
5295;13.2566
5300;12.6444
5305;11.6325
5310;9.92071
5315;7.30914
5320;3.99775
5325;0.286554
5330;-2.92445
5335;-4.53525
5340;-4.04587
5345;-2.45628
5350;-0.966503
5355;-0.776527
5360;-1.28635
5365;-1.29598
5370;-0.60541
