age;stackVKtr;stackFluxVKtr
1016;-13.95156095;-14.95995983
1011;-14.06250855;-15.00571646
1006;-14.14268586;-15.08708756
1001;-14.13497198;-15.22734574
996;-14.17300035;-15.34339763
991;-14.23546212;-15.44558627
986;-14.30861409;-15.54097834
981;-14.32589138;-15.59268611
976;-14.35620441;-15.64996285
971;-14.40878041;-15.72049538
966;-14.47137651;-15.79684417
961;-14.40750837;-15.83937821
956;-14.21672287;-15.84710387
951;-14.14457926;-15.88749072
946;-14.13130549;-15.94384334
941;-14.12505195;-15.98771546
936;-13.26315416;-15.19076808
931;-12.75729358;-14.73524643
926;-12.49276901;-14.51182977
921;-12.34126354;-14.39682927
916;-11.0149928;-13.05701374
911;-9.483254555;-11.50133817
906;-8.632483561;-10.6515846
901;-8.109325385;-10.14117632
896;-7.452801833;-9.4248267
891;-5.894029433;-7.544395977
886;-4.932516385;-6.413103407
881;-4.29776403;-5.691384341
876;-3.818973062;-5.16422633
871;-5.163609526;-6.178931659
866;-6.215503829;-6.967030605
861;-6.652416098;-7.254333907
856;-6.803729285;-7.31022259
851;-7.259466759;-7.659881643
846;-8.083194299;-8.354463045
841;-8.486431074;-8.668372237
836;-8.681158844;-8.794198262
831;-8.82246286;-8.880396517
826;-10.79389694;-10.95390652
821;-11.98696272;-12.19125006
816;-12.65379477;-12.86297407
811;-13.07369221;-13.2699865
806;-13.69367152;-14.24228829
801;-14.31580259;-15.28382559
796;-14.73542231;-15.91895906
791;-15.05534086;-16.3569419
786;-15.20039572;-16.4754786
781;-14.89378465;-15.78424466
776;-14.81502718;-15.50255163
771;-14.85915486;-15.44333676
766;-14.95806272;-15.48494972
761;-14.2243288;-15.39649604
756;-13.6635287;-15.36120827
751;-13.41885101;-15.39810594
746;-13.32185096;-15.46801555
741;-13.48674693;-15.74631381
736;-13.87395124;-16.22132621
731;-14.10124704;-16.5233474
726;-14.24853363;-16.73835941
721;-14.33681805;-16.89534653
716;-13.46885293;-16.31202755
711;-12.97054678;-16.00826608
706;-12.72536316;-15.89601733
701;-12.59808179;-15.87223155
696;-12.38601835;-15.66868367
691;-12.17404222;-15.44246022
686;-12.05136765;-15.34492366
681;-11.97219251;-15.30904086
676;-11.94630412;-15.24874704
671;-12.04024617;-15.0213232
666;-12.07790817;-14.9042294
661;-12.08521794;-14.84728406
656;-12.07915455;-14.81881046
651;-9.178415633;-12.01430333
646;-6.826990793;-9.749382985
641;-5.531222993;-8.508316953
636;-4.733291594;-7.750232936
631;-3.85351139;-6.682399189
626;-2.776538002;-5.196781158
621;-2.044220703;-4.25410808
616;-1.487102316;-3.585550931
611;-1.034310075;-3.073723109
606;-1.386060512;-3.657110317
601;-1.458289404;-3.863483616
596;-1.339298103;-3.810509554
591;-1.135353838;-3.641268727
586;-2.672440836;-4.876371399
581;-4.530862483;-6.365471005
576;-5.419871911;-7.057361326
571;-5.846590746;-7.369608539
566;-6.120510341;-7.502353988
561;-6.502513679;-7.539659485
556;-6.716647402;-7.545473074
551;-6.841335402;-7.536326411
546;-6.922792739;-7.51943328
541;-4.710358041;-6.418785279
536;-2.920060315;-5.521778485
531;-1.9537599;-5.017990904
526;-1.374604276;-4.699266845
521;-0.217823384;-3.672587695
516;1.598193056;-1.906301907
511;2.684410332;-0.880266745
506;3.404805545;-0.22475395
501;4.00565555;0.304702627
496;6.859111732;2.852449954
491;8.725281955;4.508627397
486;9.923849494;5.562928185
481;10.80561173;6.331868848
476;11.37225755;6.445656345
471;11.82974577;6.391378653
466;12.33113055;6.578906023
461;12.84740775;6.877032242
456;12.99179865;6.982102164
451;11.86653702;6.29201611
446;11.45576667;6.070428146
441;11.4310623;6.100985194
436;11.58204408;6.246032283
431;10.71516631;5.904930909
426;10.09258399;5.688733095
421;9.885641394;5.678016023
416;9.872857971;5.762706762
411;9.77910834;5.671584682
406;9.55930597;5.384477003
401;9.513504149;5.304375854
396;9.554006785;5.326773486
391;9.587549382;5.366289384
386;7.60520833;4.127322694
381;6.452429369;3.422859117
376;5.862991289;3.080280884
371;5.537329613;2.906992438
366;4.842408784;2.090466771
361;4.115250712;1.17642021
356;3.687897057;0.675166373
351;3.406683441;0.37320226
346;2.879036309;-0.143594953
341;1.31044959;-1.664477871
336;0.377373703;-2.560461588
331;-0.207082729;-3.114368621
326;-0.625894775;-3.506049072
321;0.59810686;-2.616603651
316;1.56627729;-1.915631472
311;1.987538116;-1.631043394
306;2.155054805;-1.53905621
301;2.883451107;-0.849778697
296;4.224440457;0.473388143
291;4.929731833;1.160182818
286;5.319094386;1.530774002
281;5.565521531;1.756056807
276;5.925313713;1.987766189
271;6.177266968;2.155137214
266;6.361526617;2.284527884
261;6.51270656;2.394868723
256;6.320948793;1.784952907
251;6.058458265;1.035268925
246;5.967583924;0.667745282
241;5.957908803;0.482598994
