age_synchro;FluxVK;FluxEDML;FluxWD;FluxDF;FluxPS1;FluxSD;FluxODC;FluxDA;FluxLDC;FluxEDC;FluxSPI
2041;53.67477711;64.35801686;79.41477814;;;89.65623318;42.96963351;67.4148592;;;67.09568704
2063;53.9002084;66.79856872;77.49395937;;;95.67673664;42.51311413;75.00576617;;;69.35443116
2085;47.66170712;65.79672036;94.20670015;;;93.31872835;40.03647558;74.02254362;;;67.33088656
2107;47.34283127;66.25581107;77.37156933;;;92.13930405;38.43713084;60.98124183;;;
2129;49.24336976;75.47153042;78.88824988;;;94.86405066;44.34287391;54.10695775;;;
2151;50.67721282;77.10456058;86.24447949;;;90.21042794;38.88290702;58.08474055;;;
2173;50.98195639;67.79956101;90.90423799;;;86.77713723;38.81871973;60.97504175;;;
2195;51.67208864;59.60643982;77.51420653;;;95.71166324;38.07249877;58.94151628;;;
2217;54.09725697;60.78983356;85.63390156;;;101.7138898;41.27116696;59.84345223;;;
2239;51.99798023;68.23218445;94.85895348;;;108.3207074;47.89474882;73.37977325;;;
2261;59.42040141;74.77945777;92.66502194;;;118.418319;52.79906293;84.65241847;;;
2283;61.63501971;84.67067465;72.52728324;;;122.9706275;53.44961705;87.0119171;;;
2305;68.96097437;81.67448443;121.5669602;;;116.9173858;54.38600216;79.20790514;;;
2327;58.81592618;81.66597521;140.0172632;;;99.2832867;49.10250284;68.89216047;;;
2349;49.77181396;81.56973839;;;;83.30689178;43.71615917;59.34834521;;;
2371;39.76951339;70.48347425;;;;87.52728074;39.68228919;52.01485236;;;
2393;41.82325446;62.40936629;;;;91.1108721;38.81660416;55.59675127;;;
2415;46.82671916;64.44223587;;;;84.47655917;39.36436152;56.11721144;;;
2437;45.35755341;61.17795238;;;;88.46140687;40.10217065;57.04548543;;;
2459;49.29698616;61.18624523;;;;90.8390015;41.59995313;65.39655213;;;
2481;53.73870194;60.77998004;;;;85.35691778;42.47790424;59.89197092;;;
2503;49.88053676;68.39451539;;;;81.05420987;36.71451444;60.01754349;;;
2525;47.69422682;65.46156597;;;;81.2975923;36.64482439;63.47119938;;;
2547;45.85881006;61.7273265;;;;87.04374632;33.70990854;53.65807071;;;
2569;45.59919869;57.54766092;;;;90.68955121;37.09850319;60.03457096;;;
2591;51.27263706;55.51069365;;;;94.68386268;42.4440291;63.53290109;;;
2613;59.10568744;66.40905413;;;;98.69544471;41.93908143;66.4450008;;;
2635;50.44003284;64.71852568;;;;101.1129466;41.92366331;70.2139678;;;
2657;56.10812219;65.55053416;;;;107.4332114;46.20007575;69.69829988;;;
2679;55.9795247;74.92726445;;;;112.8973287;50.49409618;70.82417045;;;
2701;57.21842085;77.30308421;;;;108.237466;50.27823049;72.97700013;;;
2723;55.31989579;81.30468047;;;;95.07056953;48.22391566;76.31204133;;;
