age_vostok;Be_conc_vostok;age_da;Be_conc_da;age_edc;Be_conc_edc;age_odc;Be_conc_odc;age_sp;Be_conc_sp;age_df;Be_conc_df;age_edml;Be_conc_edml;age_ldc;Be_conc_ldc;age_sd;Be_conc_sd;age_spi;Be_conc_spi;age_td;Be_conc_td;age_wd;Be_conc_wd
1689.5;0.721;2056;0.741;518.66;0.661;3190.58;0.475;629.8;0.422;973;0.791;3284;0.35;;;106.35;0.151;984.48;0.338;33903;0.347;1138.85;0.115
1708;0.606;2082.5;0.885;522.98;0.754;3208.61;;635.8;;983;0.794;3306;0.411;;;109.36;0.221;995.62;0.298;34829;0.461;1151.8;0.119
1726.5;0.742;2109;0.94;527.54;1.22;3273.6;0.239;645;0.417;994;0.688;3328;0.383;;;110.6;0.17;1007.01;0.312;35763;0.384;1164.9;0.14
1745.5;0.907;2135.5;1.071;531.81;0.953;3298.17;0.343;653;0.389;1004;0.692;3350;0.472;;;114.09;0.21;1018.96;0.257;36181;0.433;1177;0.161
1764.5;0.888;2162.5;0.995;536.03;0.975;3322.8;0.239;659.5;;1013;0.791;3372;0.415;;;115.14;0.162;1031.43;0.321;36453;0.674;1187.2;0.085
1783.5;0.814;2187.17;0.716;540.49;0.775;3357.77;0.341;663.8;0.331;1023;0.721;3394;0.374;;;116.18;0.136;1043.69;0.36;37129;0.59;1198.1;0.104
1802.5;0.829;2211;0.782;544.78;0.66;3374.49;0.306;667.3;;1032;0.839;3416;0.358;;;117.46;0.203;1054.96;0.342;37522;0.572;1210.2;0.109
1821.5;0.957;2236.5;0.85;549.13;0.844;3384.83;0.355;673.5;0.392;1042;0.749;3438;0.313;;;119.11;0.258;1066.36;0.319;37714;0.545;1222.1;0.092
1840.5;0.78;2272;0.778;553.72;0.676;3398.21;0.36;683;0.454;1053;0.825;3460;0.431;;;120.7;0.219;1078.55;0.299;38433;0.35;1233.3;0.117
1859.5;0.804;2307.5;1.16;558.03;0.562;3421.75;0.425;691;0.37;1062;0.778;3482;0.374;;;122.19;0.238;1090.63;0.322;38996;0.399;1245.6;0.127
1878.5;0.89;2334;1.214;562.28;0.69;3458.4;0.505;693.9;0.332;1072;0.732;3504;0.37;;;123.47;0.186;1102.23;0.325;40334;0.435;1258.65;0.132
1897.5;0.73;2361;1.01;566.77;0.61;3485.9;0.356;695.9;;1082;0.813;3526;0.35;;;124.33;0.188;1113.8;0.306;40816;0.484;1271;0.154
1916.5;0.85;2387;0.833;570.98;0.648;3510.4;0.407;705;0.313;1093;0.718;3548;0.383;;;125.08;0.277;1125.81;0.331;41291;0.532;1283.4;0.139
1935.5;0.76;2414;0.687;575.13;;3534.3;0.434;715;0.391;1104;0.73;3570;0.419;;;126.39;0.243;1138.19;0.31;41981;0.461;1296;0.125
1955;0.789;2442;0.8;579.52;0.768;3577.73;0.501;717.5;0.32;1116;0.793;3592;0.403;;;127.46;0.264;1150.15;0.347;43623;0.399;1308.65;0.109
1974.5;0.821;2470;0.74;583.66;;3601.95;0.514;727.5;0.26;1126;0.782;3614;0.391;;;128.71;0.244;1162.62;0.336;44851;0.376;1323.05;0.093
1993.5;0.854;2497.5;0.935;587.79;0.505;3626.15;0.491;738.3;0.312;1137;0.773;3636;0.35;;;130.05;0.246;1175.09;0.397;45244;0.327;1337.65;0.112
2013;0.88;2525.5;0.762;592.14;0.522;3651.86;0.58;743.3;;1149;1.063;3658;0.338;;;131.26;0.211;1186.98;0.335;45785;0.275;1350.4;0.131
2032.5;0.83;2553.5;0.927;596.28;0.646;3682.58;0.328;750;0.276;1161;0.7;3680;0.354;;;132.57;0.266;1200.38;0.278;45899;0.245;1363;0.119
2052;0.699;2578.5;0.699;600.43;;3707.22;0.529;756;0.355;1173;0.626;3702;0.342;;;133.77;0.233;1214.47;0.315;46481;0.275;1377.45;0.127
2071.5;0.82;2604;0.855;604.82;0.598;3739.18;0.43;761.5;0.308;1185;0.624;3724;0.387;;;134.52;0.204;1226.56;0.297;47005;0.292;1392.5;0.089
2091;0.808;2631.5;0.888;608.98;0.464;3772.45;0.388;767;;1196;0.692;3746;0.399;;;135.37;0.248;1238.79;0.393;47545;0.374;1404;0.1
2110.75;0.838;2658.18;0.975;613.13;0.6;3796.98;0.415;773;0.381;1206;0.762;3768;0.366;;;136.3;0.229;1252.05;0.397;48204;0.459;1413.6;0.143
2130.25;0.814;2683.5;0.953;617.52;0.712;3840.1;0.45;780;0.337;1218;0.715;3790;0.346;;;137.07;0.282;1265.06;0.422;49514;0.354;1425.25;0.112
2150;0.79;2709.41;;621.61;0.739;3873.38;0.439;786.5;0.33;1229;0.855;3812;0.35;;;137.91;0.264;1278.37;0.373;50352;0.258;1438.2;0.097
2170;0.82;2736.18;1.033;625.64;0.857;3891.53;0.424;792;0.308;1240;0.894;3834;0.419;;;139.05;0.273;1291.68;0.437;51938;0.289;1450.85;0.109
2189.5;0.708;2762.09;1.234;629.89;0.914;3922.16;0.536;799.5;0.325;1251;0.943;3856;0.358;;;140.74;0.321;1304.24;0.332;52923;0.391;1463.2;0.123
2209;0.88;2788.5;0.765;633.96;0.66;3965.26;0.437;808;0.287;;;3878;0.342;;;142.46;0.284;1316.35;0.356;54018;0.493;1476.3;0.098
2229;0.96;2816;0.942;638.09;0.779;4020.42;0.449;814;0.372;;;3900;0.415;;;143.65;0.233;1328.92;0.317;54914;0.435;1488.7;0.081
2249;1.21;2844.5;0.915;642.44;0.662;4044.94;0.52;817;0.213;;;3922;0.338;;;144.66;0.252;1342.77;0.357;56072;0.381;1499.5;0.132
